               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063788,            0.029485,            0.024331,             0.51781,             0.43245,             0.28557,             0.13849,            0.045914,            0.012967,            0.013452,             0.07002,           0.0033311,           0.0033311
                   1,            0.042583,            0.019902,            0.013183,             0.74335,             0.50933,             0.47899,             0.25684,            0.031068,            0.011352,           0.0090288,            0.037821,           0.0044652,           0.0044652
                   2,            0.035844,            0.018299,           0.0097148,             0.85161,              0.5547,             0.56118,             0.34403,            0.030346,            0.010164,           0.0072292,           0.0034219,           0.0033992,           0.0033992
